kode,symbol,date,price
SUMBAR,MSFT,1980,134712
SUMBAR,MSFT,1985,138294
SUMBAR,MSFT,1990,217796
SUMBAR,MSFT,1995,260845
SUMBAR,MSFT,2000,245000
SUMBAR,MSFT,2005,300322
SUMBAR,MSFT,2010,344254
SUMBAR,MSFT,2015,358123
SUMSEL,MSFT,1971,333875
SUMSEL,MSFT,1980,617745
SUMSEL,MSFT,1985,576482
SUMSEL,MSFT,1990,936817
SUMSEL,MSFT,1995,1038898
SUMSEL,MSFT,2000,987157
SUMSEL,MSFT,2005,902044
SUMSEL,MSFT,2010,1017990
SUMSEL,MSFT,2015,966060
SUMUT,MSFT,1971,547405
SUMUT,MSFT,1980,570863
SUMUT,MSFT,1985,485155
SUMUT,MSFT,1990,459652
SUMUT,MSFT,1995,552450
SUMUT,MSFT,2000,447897
SUMUT,MSFT,2005,447332
SUMUT,MSFT,2010,521847
SUMUT,MSFT,2015,519843
YOGYA,MSFT,1971,101204
YOGYA,MSFT,1980,180367
YOGYA,MSFT,1985,229125
YOGYA,MSFT,1990,266500
YOGYA,MSFT,1995,347245
YOGYA,MSFT,2000,385117
YOGYA,MSFT,2005,466941
YOGYA,MSFT,2010,562384
YOGYA,MSFT,2015,571948
