id_tinggal;id_lahir;prov_tinggal;prov_lahir;Jumlah Migrasi
JATENG;SULSEL;Kalimantan Selatan;Sulawesi Selatan;19238
JATENG;SULTENGG;Kalimantan Selatan;Sulawesi Tenggara;588
JATENG;GORONTALO;Kalimantan Selatan;Gorontalo;118
JATENG;SULBARAT;Kalimantan Selatan;Sulawesi Barat;2782
JATENG;MALUKU;Kalimantan Selatan;Maluku;489
JATENG;MALUT;Kalimantan Selatan;Maluku Utara;139
JATENG;PAPBAR;Kalimantan Selatan;Papua Barat;74
JATENG;PAPUA;Kalimantan Selatan;Papua;82
YOGYA;ACEH;Kalimantan Tengah;Aceh;125
YOGYA;SUMUT;Kalimantan Tengah;Sumatera Utara;5354
YOGYA;SUMBAR;Kalimantan Tengah;Sumatera Barat;609
YOGYA;RIAU;Kalimantan Tengah;Riau;1550
YOGYA;JAMBI;Kalimantan Tengah;Jambi;947
YOGYA;SUMSEL;Kalimantan Tengah;Sumatera Selatan;924
YOGYA;BENGKULU;Kalimantan Tengah;Bengkulu;258
